"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1829","Verify text is italic after italic button click","","Sun Oct 19 00:45:07 UTC 2025","passed","Sun Oct 19 00:45:09 UTC 2025","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextIsItalicAfterItalicButtonClick"
"","5987","fileUploaderWithFieldAndButton()","","Sun Oct 19 00:44:54 UTC 2025","passed","Sun Oct 19 00:45:00 UTC 2025","","com.dotdash.takehome.tests.FileUploaderTest","com.dotdash.takehome.tests.FileUploaderTest","fileUploaderWithFieldAndButton"
"","6763","Verify checkboxes with upward xpath check and uncheck properly","","Sun Oct 19 00:44:55 UTC 2025","passed","Sun Oct 19 00:45:02 UTC 2025","","Checkboxes page: /checkboxes","com.dotdash.takehome.tests.CheckboxesTest","verifyCheckboxesWithUpwardXpathCheckAndUncheckProperly"
"","2319","Verify text is of size header 2 after header 2 selected from dropdown","","Sun Oct 19 00:45:05 UTC 2025","passed","Sun Oct 19 00:45:07 UTC 2025","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextIsOfSizeHeader2AfterHeader2SelectedFromDropdown"
"","3080","Verify text is bold and italic after bold and italic button click","","Sun Oct 19 00:45:02 UTC 2025","passed","Sun Oct 19 00:45:05 UTC 2025","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextIsBoldAndItalicAfterBoldAndItalicButtonClick"
"","5071","Verify login with invalid password produces error message","","Sun Oct 19 00:44:56 UTC 2025","passed","Sun Oct 19 00:45:01 UTC 2025","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithInvalidPasswordProducesErrorMessage"
"","17968","Verify checkbox disappears and reappears upon clicking on remove add button","","Sun Oct 19 00:44:43 UTC 2025","passed","Sun Oct 19 00:45:01 UTC 2025","","Dynamic Controls page: /dynamic_controls","com.dotdash.takehome.tests.DynamicControlsTest","verifyCheckboxDisappearsAndReappearsUponClickingOnRemoveAddButton"
"","2801","Verify login with Blank Username shows error","","Sun Oct 19 00:45:01 UTC 2025","passed","Sun Oct 19 00:45:03 UTC 2025","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithBlankUsernameShowsError"
"","2081","Verify text alignment works as specified with alignment buttons clicked","","Sun Oct 19 00:45:11 UTC 2025","passed","Sun Oct 19 00:45:13 UTC 2025","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextAlignmentWorksAsSpecifiedWithAlignmentButtonsClicked"
"","8195","showHiddenText()","","Sun Oct 19 00:45:00 UTC 2025","passed","Sun Oct 19 00:45:08 UTC 2025","","com.dotdash.takehome.tests.DynamicLoadingTest","com.dotdash.takehome.tests.DynamicLoadingTest","showHiddenText"
"","13787","Verify drag and drop with Selenide","","Sun Oct 19 00:44:40 UTC 2025","broken","Sun Oct 19 00:44:54 UTC 2025","","Drag and Drop page: /drag_and_drop","com.dotdash.takehome.tests.DragAndDropTest","verifyDragAndDropWithSelenide"
"","7238","Verify checkbox disappears and reappears with check for invisibility through expected condition","","Sun Oct 19 00:45:09 UTC 2025","passed","Sun Oct 19 00:45:17 UTC 2025","","Dynamic Controls page: /dynamic_controls","com.dotdash.takehome.tests.DynamicControlsTest","verifyCheckboxDisappearsAndReappearsWithCheckForInvisibilityThroughExpectedCondition"
"","19026","Verify test is bold then italic after bold then italic button click","","Sun Oct 19 00:44:43 UTC 2025","passed","Sun Oct 19 00:45:02 UTC 2025","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTestIsBoldThenItalicAfterBoldThenItalicButtonClick"
"","16891","showRenderedAfterTheFactText()","","Sun Oct 19 00:44:43 UTC 2025","passed","Sun Oct 19 00:44:59 UTC 2025","","com.dotdash.takehome.tests.DynamicLoadingTest","com.dotdash.takehome.tests.DynamicLoadingTest","showRenderedAfterTheFactText"
"","1482","Verify login with Invalid Username produce error message","","Sun Oct 19 00:45:05 UTC 2025","broken","Sun Oct 19 00:45:06 UTC 2025","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithInvalidUsernameProduceErrorMessage"
"","5607","Verify content switches on drag and drop both ways","","Sun Oct 19 00:44:54 UTC 2025","passed","Sun Oct 19 00:45:00 UTC 2025","","Drag and Drop page: /drag_and_drop","com.dotdash.takehome.tests.DragAndDropTest","verifyContentSwitchesOnDropBothWays"
"","8513","Verify input field is enabled / disable on enable / disable button click","","Sun Oct 19 00:45:01 UTC 2025","passed","Sun Oct 19 00:45:09 UTC 2025","","Dynamic Controls page: /dynamic_controls","com.dotdash.takehome.tests.DynamicControlsTest","verifyInputFieldIsEnabledDisableOnEnableDisableButtonClick"
"","12692","Verify all images and text change on refresh","","Sun Oct 19 00:44:43 UTC 2025","passed","Sun Oct 19 00:44:55 UTC 2025","","Dynamic Content page: /dynamic_content","com.dotdash.takehome.tests.DynamicContentTest","verifyAllImagesAndTextChangeOnRefresh"
"","11188","fileUploaderWithDragAndDropDiv()","","Sun Oct 19 00:44:43 UTC 2025","passed","Sun Oct 19 00:44:54 UTC 2025","","com.dotdash.takehome.tests.FileUploaderTest","com.dotdash.takehome.tests.FileUploaderTest","fileUploaderWithDragAndDropDiv"
"","1360","Verify login with valid credentials","","Sun Oct 19 00:45:03 UTC 2025","passed","Sun Oct 19 00:45:05 UTC 2025","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithValidCredentials"
