"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 11 00:34:58 GMT 2024","Sun Aug 11 00:35:05 GMT 2024","6150","","Checkboxes page: /checkboxes","","com.dotdash.takehome.tests.CheckboxesTest","verifyCheckboxesWithUpwardXpathCheckAndUncheckProperly","Verify checkboxes with upward xpath check and uncheck properly",""
"passed","Sun Aug 11 00:34:59 GMT 2024","Sun Aug 11 00:35:04 GMT 2024","4768","","Dynamic Content page: /dynamic_content","","com.dotdash.takehome.tests.DynamicContentTest","verifyAnyTextChangesOnPageRefresh","Verify any text change on page refresh",""
"broken","Sun Aug 11 00:34:41 GMT 2024","Sun Aug 11 00:34:59 GMT 2024","18547","","Drag and Drop page: /drag_and_drop","","com.dotdash.takehome.tests.DragAndDropTest","verifyDragAndDropWithSelenide","Verify drag and drop with Selenide",""
"broken","Sun Aug 11 00:35:06 GMT 2024","Sun Aug 11 00:35:09 GMT 2024","2616","","WYSIWYG editor: /tinymce","","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextIsOfSizeHeader2AfterHeader2SelectedFromDropdown","Verify text is of size header 2 after header 2 selected from dropdown",""
"broken","Sun Aug 11 00:35:09 GMT 2024","Sun Aug 11 00:35:12 GMT 2024","2511","","WYSIWYG editor: /tinymce","","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextIsItalicAfterItalicButtonClick","Verify text is italic after italic button click",""
"passed","Sun Aug 11 00:34:41 GMT 2024","Sun Aug 11 00:34:58 GMT 2024","17668","","com.dotdash.takehome.tests.FloatingMenuTest","","com.dotdash.takehome.tests.FloatingMenuTest","verifyMenuStaysAtTopDuringScrollWithThreadSleep","Verify menu stays at top during scroll with Thread.sleep",""
"broken","Sun Aug 11 00:34:36 GMT 2024","Sun Aug 11 00:35:01 GMT 2024","25545","","WYSIWYG editor: /tinymce","","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTestIsBoldThenItalicAfterBoldThenItalicButtonClick","Verify test is bold then italic after bold then italic button click",""
"passed","Sun Aug 11 00:34:58 GMT 2024","Sun Aug 11 00:35:04 GMT 2024","5176","","com.dotdash.takehome.tests.FloatingMenuTest","","com.dotdash.takehome.tests.FloatingMenuTest","verifyMenuStaysAtTopDuringScrollWithWhileLoop","Verify menu stays at top during scroll with while loop",""
"passed","Sun Aug 11 00:34:36 GMT 2024","Sun Aug 11 00:34:59 GMT 2024","22893","","Context Menu Page: /context_menu","","com.dotdash.takehome.tests.ContextMenuTest","verifyRightClickInTargetAreaTriggersAlertPopup","Verify right click in target area triggers alert popup",""
"passed","Sun Aug 11 00:34:41 GMT 2024","Sun Aug 11 00:34:58 GMT 2024","17578","","com.dotdash.takehome.tests.HoversTest","","com.dotdash.takehome.tests.HoversTest","floatingMenuShowsUpIfHoveredOverUserProfilePicture"," Floating Menu Shows Up If Hovered Over User Profile Picture When floating cursor over user 1, hidden info for User 1 pops up",""
