"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5190"," Floating Menu Shows Up If Hovered Over User Profile Picture When floating cursor over user 2, hidden info for User 2 pops up","","Sun Dec 01 00:46:07 GMT 2024","passed","Sun Dec 01 00:46:12 GMT 2024","","com.dotdash.takehome.tests.HoversTest","com.dotdash.takehome.tests.HoversTest","floatingMenuShowsUpIfHoveredOverUserProfilePicture"
"","14701","Verify checkbox disappears and reappears upon clicking on remove add button","","Sun Dec 01 00:45:58 GMT 2024","passed","Sun Dec 01 00:46:12 GMT 2024","","Dynamic Controls page: /dynamic_controls","com.dotdash.takehome.tests.DynamicControlsTest","verifyCheckboxDisappearsAndReappearsUponClickingOnRemoveAddButton"
"","7518","Verify login with invalid password produces error message","","Sun Dec 01 00:46:07 GMT 2024","passed","Sun Dec 01 00:46:15 GMT 2024","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithInvalidPasswordProducesErrorMessage"
"","8453","Verify right click in target area triggers alert popup","","Sun Dec 01 00:45:59 GMT 2024","passed","Sun Dec 01 00:46:07 GMT 2024","","Context Menu Page: /context_menu","com.dotdash.takehome.tests.ContextMenuTest","verifyRightClickInTargetAreaTriggersAlertPopup"
"","1974","Verify text is of size header 2 after header 2 selected from dropdown","","Sun Dec 01 00:46:17 GMT 2024","broken","Sun Dec 01 00:46:19 GMT 2024","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextIsOfSizeHeader2AfterHeader2SelectedFromDropdown"
"","6948","fileUploaderWithDragAndDropDiv()","","Sun Dec 01 00:45:59 GMT 2024","passed","Sun Dec 01 00:46:06 GMT 2024","","com.dotdash.takehome.tests.FileUploaderTest","com.dotdash.takehome.tests.FileUploaderTest","fileUploaderWithDragAndDropDiv"
"","6298","fileUploaderWithFieldAndButton()","","Sun Dec 01 00:46:07 GMT 2024","passed","Sun Dec 01 00:46:13 GMT 2024","","com.dotdash.takehome.tests.FileUploaderTest","com.dotdash.takehome.tests.FileUploaderTest","fileUploaderWithFieldAndButton"
"","9803","Verify input field is enabled / disable on enable / disable button click","","Sun Dec 01 00:46:12 GMT 2024","passed","Sun Dec 01 00:46:22 GMT 2024","","Dynamic Controls page: /dynamic_controls","com.dotdash.takehome.tests.DynamicControlsTest","verifyInputFieldIsEnabledDisableOnEnableDisableButtonClick"
"","8377","fileDownloaded_withDriverOptions()","","Sun Dec 01 00:45:59 GMT 2024","passed","Sun Dec 01 00:46:07 GMT 2024","","File Download page: /download","com.dotdash.takehome.tests.FileDownloadTest","fileDownloaded_withDriverOptions"
"","5915","Verify content switches on drag and drop both ways","","Sun Dec 01 00:46:08 GMT 2024","passed","Sun Dec 01 00:46:14 GMT 2024","","Drag and Drop page: /drag_and_drop","com.dotdash.takehome.tests.DragAndDropTest","verifyContentSwitchesOnDropBothWays"
"","1661","Verify login with Invalid Username produce error message","","Sun Dec 01 00:46:19 GMT 2024","passed","Sun Dec 01 00:46:20 GMT 2024","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithInvalidUsernameProduceErrorMessage"
"","6859","Verify checkboxes with upward xpath check and uncheck properly","","Sun Dec 01 00:46:07 GMT 2024","passed","Sun Dec 01 00:46:14 GMT 2024","","Checkboxes page: /checkboxes","com.dotdash.takehome.tests.CheckboxesTest","verifyCheckboxesWithUpwardXpathCheckAndUncheckProperly"
"","3980"," Floating Menu Shows Up If Hovered Over User Profile Picture When floating cursor over user 3, hidden info for User 3 pops up","","Sun Dec 01 00:46:12 GMT 2024","passed","Sun Dec 01 00:46:16 GMT 2024","","com.dotdash.takehome.tests.HoversTest","com.dotdash.takehome.tests.HoversTest","floatingMenuShowsUpIfHoveredOverUserProfilePicture"
"","8912","Verify checkboxes with list check and uncheck properly","","Sun Dec 01 00:45:58 GMT 2024","passed","Sun Dec 01 00:46:07 GMT 2024","","Checkboxes page: /checkboxes","com.dotdash.takehome.tests.CheckboxesTest","verifyCheckboxesWithListCheckAndUncheckProperly"
"","6895","Verify menu stays at top during scroll with Thread.sleep","","Sun Dec 01 00:45:59 GMT 2024","passed","Sun Dec 01 00:46:06 GMT 2024","","com.dotdash.takehome.tests.FloatingMenuTest","com.dotdash.takehome.tests.FloatingMenuTest","verifyMenuStaysAtTopDuringScrollWithThreadSleep"
"","9111","showHiddenText()","","Sun Dec 01 00:46:12 GMT 2024","passed","Sun Dec 01 00:46:21 GMT 2024","","com.dotdash.takehome.tests.DynamicLoadingTest","com.dotdash.takehome.tests.DynamicLoadingTest","showHiddenText"
"","7930","fileDownloaded_withHTTPClient()","","Sun Dec 01 00:46:07 GMT 2024","passed","Sun Dec 01 00:46:15 GMT 2024","","File Download page: /download","com.dotdash.takehome.tests.FileDownloadTest","fileDownloaded_withHTTPClient"
"","1737","Verify text alignment works as specified with alignment buttons clicked","","Sun Dec 01 00:46:23 GMT 2024","broken","Sun Dec 01 00:46:24 GMT 2024","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextAlignmentWorksAsSpecifiedWithAlignmentButtonsClicked"
"","8395","Verify all images and text change on refresh","","Sun Dec 01 00:45:59 GMT 2024","passed","Sun Dec 01 00:46:07 GMT 2024","","Dynamic Content page: /dynamic_content","com.dotdash.takehome.tests.DynamicContentTest","verifyAllImagesAndTextChangeOnRefresh"
"","6212","Verify text is bold and italic after bold and italic button click","","Sun Dec 01 00:46:11 GMT 2024","broken","Sun Dec 01 00:46:17 GMT 2024","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextIsBoldAndItalicAfterBoldAndItalicButtonClick"
"","5898","Verify any text change on page refresh","","Sun Dec 01 00:46:07 GMT 2024","passed","Sun Dec 01 00:46:13 GMT 2024","","Dynamic Content page: /dynamic_content","com.dotdash.takehome.tests.DynamicContentTest","verifyAnyTextChangesOnPageRefresh"
"","1695","Verify Word is bold after bold button click","","Sun Dec 01 00:46:21 GMT 2024","broken","Sun Dec 01 00:46:23 GMT 2024","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyWordIsBoldAfterBoldButtonClick"
"","7140"," Floating Menu Shows Up If Hovered Over User Profile Picture When floating cursor over user 1, hidden info for User 1 pops up","","Sun Dec 01 00:46:00 GMT 2024","passed","Sun Dec 01 00:46:07 GMT 2024","","com.dotdash.takehome.tests.HoversTest","com.dotdash.takehome.tests.HoversTest","floatingMenuShowsUpIfHoveredOverUserProfilePicture"
"","12899","Verify test is bold then italic after bold then italic button click","","Sun Dec 01 00:45:58 GMT 2024","broken","Sun Dec 01 00:46:11 GMT 2024","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTestIsBoldThenItalicAfterBoldThenItalicButtonClick"
"","7300","Verify checkbox disappears and reappears with check for invisibility through expected condition","","Sun Dec 01 00:46:22 GMT 2024","passed","Sun Dec 01 00:46:30 GMT 2024","","Dynamic Controls page: /dynamic_controls","com.dotdash.takehome.tests.DynamicControlsTest","verifyCheckboxDisappearsAndReappearsWithCheckForInvisibilityThroughExpectedCondition"
"","12981","showRenderedAfterTheFactText()","","Sun Dec 01 00:45:59 GMT 2024","passed","Sun Dec 01 00:46:12 GMT 2024","","com.dotdash.takehome.tests.DynamicLoadingTest","com.dotdash.takehome.tests.DynamicLoadingTest","showRenderedAfterTheFactText"
"","7000","Verify value changes on select","","Sun Dec 01 00:46:00 GMT 2024","passed","Sun Dec 01 00:46:07 GMT 2024","","Dropdown List page: /dropdown","com.dotdash.takehome.tests.DropdownTest","verifyValueChangesOnSelect"
"","6701","Verify menu stays at top during scroll with while loop","","Sun Dec 01 00:46:07 GMT 2024","passed","Sun Dec 01 00:46:14 GMT 2024","","com.dotdash.takehome.tests.FloatingMenuTest","com.dotdash.takehome.tests.FloatingMenuTest","verifyMenuStaysAtTopDuringScrollWithWhileLoop"
"","1543","Verify login with valid credentials","","Sun Dec 01 00:46:17 GMT 2024","passed","Sun Dec 01 00:46:19 GMT 2024","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithValidCredentials"
"","9889","Verify drag and drop with Selenide","","Sun Dec 01 00:45:58 GMT 2024","broken","Sun Dec 01 00:46:08 GMT 2024","","Drag and Drop page: /drag_and_drop","com.dotdash.takehome.tests.DragAndDropTest","verifyDragAndDropWithSelenide"
"","8518","Verify login with Valid Username and Blank Password produce error message","","Sun Dec 01 00:45:59 GMT 2024","passed","Sun Dec 01 00:46:07 GMT 2024","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithValidUsernameAndBlankPasswordProduceErrorMessage"
"","2013","Verify text is italic after italic button click","","Sun Dec 01 00:46:19 GMT 2024","broken","Sun Dec 01 00:46:21 GMT 2024","","WYSIWYG editor: /tinymce","com.dotdash.takehome.tests.WysiwygEditorTest","verifyTextIsItalicAfterItalicButtonClick"
"","2056","Verify login with Blank Username shows error","","Sun Dec 01 00:46:15 GMT 2024","passed","Sun Dec 01 00:46:17 GMT 2024","","Form Authentication Page: /login","com.dotdash.takehome.tests.FormAuthenticationTest","verifyLoginWithBlankUsernameShowsError"
